Dataset	Run	AnalysisFamily	PartitionStructure	BinSize	TotalReferenceScans	RecoveredScans	UnrecoveredScans	RecoveryPercent	BaselinePeptides	CorrectedPeptides	PeptideGain	BaselineProteins	CorrectedProteins	ProteinGain
Ocean	Ocean_4	size_series	35 groups	600k	45685	45680	5	99.98905548867243	14285	15383	1098	39884	41334	1450
Ocean	Ocean_4	size_series	69 groups	300k	45685	45681	4	99.99124439093796	14285	15409	1124	39884	41363	1479
Ocean	Ocean_4	size_series	139 groups	150k	45685	45682	3	99.99343329320348	14285	16011	1726	39884	42190	2306
Ocean	Ocean_4	size_series	277 groups	75k	45685	45684	1	99.99781109773448	14285	15812	1527	39884	41881	1997
Soil	Soil_1	Pairwise	9 groups		40237	40212	25	99.93786813132192	2125	2275	150	11832	13158	1326
Soil	Soil_1	Pairwise	36 pairs		40237	40222	15	99.96272087879316	2125	2197	72	11832	12774	942
Soil	Soil_1	size_series	11 groups	1.2M	40237	40214	23	99.94283868081617	2125	2332	207	11832	13411	1579
Soil	Soil_1	size_series	22 groups	600k	40237	40222	15	99.96272087879316	2125	2325	200	11832	13395	1563
Soil	Soil_1	size_series	44 groups	300k	40237	40229	8	99.98011780202302	2125	2429	304	11832	13986	2154
Soil	Soil_1	size_series	88 groups	150k	40237	40235	2	99.99502945050575	2125	2630	505	11832	14468	2636
Soil	Soil_1	size_series	177 groups	75k	40237	40236	1	99.99751472525288	2125	2432	307	11832	13995	2163
Soil	Soil_2	Pairwise	9 groups		37913	37898	15	99.96043573444466	2125	2301	176	11832	13207	1375
Soil	Soil_2	Pairwise	36 pairs		37913	37907	6	99.98417429377784	2125	2197	72	11832	12774	942
Soil	Soil_2	size_series	11 groups	1.2M	37913	37895	18	99.95252288133358	2125	2275	150	11832	13158	1326
Soil	Soil_2	size_series	22 groups	600k	37913	37901	12	99.96834858755572	2125	2429	304	11832	13986	2154
Soil	Soil_2	size_series	44 groups	300k	37913	37911	2	99.99472476459262	2125	2565	440	11832	14327	2495
Soil	Soil_2	size_series	88 groups	150k	37913	37913	0	100.0	2125	2565	440	11832	14327	2495
Soil	Soil_2	size_series	177 groups	75k	37913	37913	0	100.0	2125	2647	522	11832	15102	3270
Soil	Soil_3	Pairwise	9 groups		39027	39015	12	99.96925205626874	2125	2269	144	11832	13145	1313
Soil	Soil_3	Pairwise	36 pairs		39027	39021	6	99.98462602813436	2125	2181	56	11832	12740	908
Soil	Soil_3	size_series	11 groups	1.2M	39027	39019	8	99.97950137084582	2125	2303	178	11832	13209	1377
Soil	Soil_3	size_series	22 groups	600k	39027	39020	7	99.9820636994901	2125	2332	207	11832	13411	1579
Soil	Soil_3	size_series	44 groups	300k	39027	39023	4	99.98975068542292	2125	2352	227	11832	13667	1835
Soil	Soil_3	size_series	88 groups	150k	39027	39026	1	99.99743767135573	2125	2565	440	11832	14327	2495
Soil	Soil_3	size_series	177 groups	75k	39027	39026	1	99.99743767135573	2125	2660	535	11832	15117	3285
Soil	Soil_4	Pairwise	9 groups		38941	38919	22	99.94350427569914	2125	2171	46	11832	12726	894
Soil	Soil_4	Pairwise	36 pairs		38941	38929	12	99.96918415038137	2125	2136	11	11832	11841	9
Soil	Soil_4	size_series	11 groups	1.2M	38941	38922	19	99.9512082381038	2125	2136	11	11832	11841	9
Soil	Soil_4	size_series	22 groups	600k	38941	38929	12	99.96918415038137	2125	2320	195	11832	13392	1560
Soil	Soil_4	size_series	44 groups	300k	38941	38933	8	99.97945610025424	2125	2395	270	11832	13856	2024
Soil	Soil_4	size_series	88 groups	150k	38941	38936	5	99.9871600626589	2125	2565	440	11832	14327	2495
Soil	Soil_4	size_series	177 groups	75k	38941	38940	1	99.9974320125318	2125	2518	393	11832	14207	2375
